2025-04-02 10:02:05.075 | INFO     | src.ui.connection_widget:handle_connection:212 - 已连接到设备 10.160.129.66:1448
2025-04-02 10:02:14.572 | INFO     | src.ui.api_test_widget:lower_shelf:536 - 正在放下货架...
2025-04-02 10:02:14.600 | INFO     | src.ui.api_test_widget:lower_shelf:542 - 货架放下完成
2025-04-02 10:02:15.193 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:15.195 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:16.093 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:16.094 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:17.276 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:17.276 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:18.138 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:18.139 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:19.110 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:19.111 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:20.160 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:20.162 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:21.078 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:21.078 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=104, stage=MOVING, status=1, result=0
2025-04-02 10:02:22.302 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=104, stage=MOVING, status=1, result=0
